Planning_area,Year,Month,Sector,GWh
PGE,2019,1,Ag With Water Pump,266.8028935
PGE,2019,1,Commercial,2946.348894
PGE,2019,1,Industrial,1220.812571
PGE,2019,1,Mining,444.3482462
PGE,2019,1,Residential,2913.375653
PGE,2019,1,Streetlighting,29.36900508
PGE,2019,1,TCU,518.4233843
PGE,2019,2,Ag With Water Pump,255.7766325
PGE,2019,2,Commercial,2606.911712
PGE,2019,2,Industrial,1207.970231
PGE,2019,2,Mining,399.5227901
PGE,2019,2,Residential,2438.510504
PGE,2019,2,Streetlighting,25.86657294
PGE,2019,2,TCU,435.643905
PGE,2019,3,Ag With Water Pump,274.6672857
PGE,2019,3,Commercial,2783.482107
PGE,2019,3,Industrial,1187.683814
PGE,2019,3,Mining,401.4747671
PGE,2019,3,Residential,2663.600438
PGE,2019,3,Streetlighting,26.57922006
PGE,2019,3,TCU,475.7531849
PGE,2019,4,Ag With Water Pump,361.8506956
PGE,2019,4,Commercial,2839.975342
PGE,2019,4,Industrial,1194.67062
PGE,2019,4,Mining,415.1888808
PGE,2019,4,Residential,2208.078721
PGE,2019,4,Streetlighting,27.00344433
PGE,2019,4,TCU,475.2246478
PGE,2019,5,Ag With Water Pump,520.2092857
PGE,2019,5,Commercial,2957.232223
PGE,2019,5,Industrial,1252.102677
PGE,2019,5,Mining,421.6336078
PGE,2019,5,Residential,2272.584329
PGE,2019,5,Streetlighting,26.70516239
PGE,2019,5,TCU,515.3677099
PGE,2019,6,Ag With Water Pump,593.4243319
PGE,2019,6,Commercial,2870.812477
PGE,2019,6,Industrial,1197.717328
PGE,2019,6,Mining,410.4516114
PGE,2019,6,Residential,2572.698423
PGE,2019,6,Streetlighting,26.66609227
PGE,2019,6,TCU,488.7741782
PGE,2019,7,Ag With Water Pump,867.0823847
PGE,2019,7,Commercial,3412.719215
PGE,2019,7,Industrial,1267.303347
PGE,2019,7,Mining,462.5803117
PGE,2019,7,Residential,3015.858209
PGE,2019,7,Streetlighting,27.62900077
PGE,2019,7,TCU,528.8955878
PGE,2019,8,Ag With Water Pump,890.2777592
PGE,2019,8,Commercial,3529.822267
PGE,2019,8,Industrial,1380.583547
PGE,2019,8,Mining,456.264398
PGE,2019,8,Residential,3273.758742
PGE,2019,8,Streetlighting,26.09104072
PGE,2019,8,TCU,512.6477739
PGE,2019,9,Ag With Water Pump,729.4340112
PGE,2019,9,Commercial,3422.369744
PGE,2019,9,Industrial,1373.100664
PGE,2019,9,Mining,433.6367749
PGE,2019,9,Residential,2993.544401
PGE,2019,9,Streetlighting,2.73E+01
PGE,2019,9,TCU,526.7793435
PGE,2019,10,Ag With Water Pump,546.7336575
PGE,2019,10,Commercial,3386.63487
PGE,2019,10,Industrial,1361.422782
PGE,2019,10,Mining,422.7929977
PGE,2019,10,Residential,2590.251833
PGE,2019,10,Streetlighting,2.79E+01
PGE,2019,10,TCU,515.0879644
PGE,2019,11,Ag With Water Pump,400.6114899
PGE,2019,11,Commercial,2813.325402
PGE,2019,11,Industrial,1288.086857
PGE,2019,11,Mining,422.9179911
PGE,2019,11,Residential,1918.940594
PGE,2019,11,Streetlighting,26.08207423
PGE,2019,11,TCU,444.111098
PGE,2019,12,Ag With Water Pump,346.3831169
PGE,2019,12,Commercial,3235.000017
PGE,2019,12,Industrial,1256.04455
PGE,2019,12,Mining,444.0783505
PGE,2019,12,Residential,2698.862812
PGE,2019,12,Streetlighting,2.94E+01
PGE,2019,12,TCU,535.4242057
PGE,2020,1,Ag With Water Pump,288.8023001
PGE,2020,1,Commercial,2863.380577
PGE,2020,1,Industrial,1210.58585
PGE,2020,1,Mining,415.8054499
PGE,2020,1,Residential,2943.433896
PGE,2020,1,Streetlighting,2.78E+01
PGE,2020,1,TCU,469.866807
PGE,2020,2,Ag With Water Pump,306.4274079
PGE,2020,2,Commercial,2665.426284
PGE,2020,2,Industrial,1130.039071
PGE,2020,2,Mining,314.5290109
PGE,2020,2,Residential,2436.175788
PGE,2020,2,Streetlighting,2.49E+01
PGE,2020,2,TCU,452.3352992
PGE,2020,3,Ag With Water Pump,474.4034105
PGE,2020,3,Commercial,2793.747672
PGE,2020,3,Industrial,1107.651613
PGE,2020,3,Mining,412.5106214
PGE,2020,3,Residential,2453.62849
PGE,2020,3,Streetlighting,2.73E+01
PGE,2020,3,TCU,469.0143567
PGE,2020,4,Ag With Water Pump,429.128029
PGE,2020,4,Commercial,2497.282096
PGE,2020,4,Industrial,1168.436088
PGE,2020,4,Mining,438.9030753
PGE,2020,4,Residential,2527.121192
PGE,2020,4,Streetlighting,2.59E+01
PGE,2020,4,TCU,454.0512231
PGE,2020,5,Ag With Water Pump,668.0076745
PGE,2020,5,Commercial,2364.51075
PGE,2020,5,Industrial,1106.615801
PGE,2020,5,Mining,383.537815
PGE,2020,5,Residential,2457.122936
PGE,2020,5,Streetlighting,2.55E+01
PGE,2020,5,TCU,419.5303397
PGE,2020,6,Ag With Water Pump,1007.262781
PGE,2020,6,Commercial,2816.858112
PGE,2020,6,Industrial,1162.119468
PGE,2020,6,Mining,364.3621302
PGE,2020,6,Residential,2985.103904
PGE,2020,6,Streetlighting,2.73E+01
PGE,2020,6,TCU,470.055758
PGE,2020,7,Ag With Water Pump,1223.264611
PGE,2020,7,Commercial,3008.622529
PGE,2020,7,Industrial,1222.020854
PGE,2020,7,Mining,379.5643301
PGE,2020,7,Residential,3480.080729
PGE,2020,7,Streetlighting,2.54E+01
PGE,2020,7,TCU,465.0731221
PGE,2020,8,Ag With Water Pump,1154.673182
PGE,2020,8,Commercial,2941.42369
PGE,2020,8,Industrial,1214.819029
PGE,2020,8,Mining,375.9395417
PGE,2020,8,Residential,3478.38105
PGE,2020,8,Streetlighting,2.22E+01
PGE,2020,8,TCU,453.7191212
PGE,2020,9,Ag With Water Pump,964.0078499
PGE,2020,9,Commercial,3026.169783
PGE,2020,9,Industrial,1262.482861
PGE,2020,9,Mining,368.811
PGE,2020,9,Residential,3542.662746
PGE,2020,9,Streetlighting,2.39E+01
PGE,2020,9,TCU,451.9101706
PGE,2020,10,Ag With Water Pump,728.8373693
PGE,2020,10,Commercial,2998.587344
PGE,2020,10,Industrial,1273.430272
